Название,Тип заведения,Средний чек,Адресс
Tito Arcanum,ресторан,Средний чек 5000 тнг,"проспект Аль-Фараби, 75в/1"
Turan,ресторанный комплекс,Средний чек 1500 тнг,"Рабат, 18"
Дареджани,сеть ресторанов,Средний чек 6000 тнг,"Кунаева, 85"
Go bar,кафе,Средний чек 2000 тнг,"Ауэзова, 15/5"
Fizika,ресто-бар,Средний чек 6000 тнг,"Шевченко, 100"
Angel-in-us Coffee,сеть кофеен,Средний чек 2000 тнг,"МФК RAMSTORE ALL IN, проспект Назарбаева, 226"
KFC,предприятие быстрого обслуживания,Доставка,"Толе би, 227"
Abay,ресторан национальной казахской кухни,Средний чек 10000 тнг,"Омаровой, 41/2"
SALAM BRO,сеть кафе и киосков быстрого питания,Средний чек 1000 тнг,"проспект Абая, 91а"
DELPAPA,сеть итальянских ресторанов домашней кухни,Доставка,"Гоголя, 87"
Laureate,ресторан,,"Богенбай батыра, 85"
Cakes & bubbles,кофейня,,"проспект Абылай хана, 147"
Benedict,кафе,Средний чек 5000 тнг,"Гоголя, 87"
ASIAN BarBeQue,Кафе,Средний чек 2000 тнг,"Хусаинова, 40"
Мармарис,сеть кафе,Средний чек 2000 тнг,"проспект Абылай хана, 59/1"
Eden,кафе,Средний чек 3000 тнг,"Поль Гурдэ, 17"
Chak Chak,ресторан,Средний чек 3000 тнг,"Байзакова, 190"
Arabis,кафе-бар,Средний чек 4800 тнг,"ЖК Moskva, 8-й микрорайон, 41/6"
Wine Cafe & Shop,кафе,Средний чек 7000 тнг,"проспект Назарбаева, 128"
TEADOT,чайный дом,,"Тимирязева, 38/1"
Veselidze,кафе,Средний чек 5000 тнг,"Шевченко, 155Б"
Agosto,ресторан,Средний чек 7000 тнг,"Казыбек би, 43Б"
Рамазан,халал-кафе,Средний чек 1500 тнг,"Жангельдина, 194"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"Орбита 3-й микрорайон, 5а"
Chechil Pub,сеть пабов,Средний чек 4000 тнг,"ТД Дана, Розыбакиева, 77"
DELPAPA,сеть итальянских ресторанов домашней кухни,Средний чек 4500 тнг,"бульвар Бухар Жырау, 66"
Нескучный сад,кафе-караоке,Средний чек 5000 тнг,"Ауэзова, 84"
Lanzhou,сеть ресторанов быстрого питания,Средний чек 1000 тнг,"Сатпаева, 90/30"
Hotel Kazakhfilm,гостиничный комплекс,Средний чек 5000 тнг,"микрорайон Казахфильм, 18а"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"Минина, 14/1"
Гости,ресторан русской кухни,Средний чек 6000 тнг,"Кунаева, 78"
Имбирь Лагманхана,Кафе,Средний чек 1500 тнг,"Утеген батыра, 5"
Shishka Lounge Almaty,лаундж-бар,Средний чек 5000 тнг,"проспект Жибек Жолы, 66"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"микрорайон Мамыр 4, 197"
Shabada,чайхана,Средний чек 3000 тнг,"Жукова, 134"
Уч Ляган City,ресторан,Средний чек 7000 тнг,"проспект Достык, 168/2"
Degirmen,сеть кафе быстрого питания,Средний чек 1500 тнг,"Байтурсынова, 63"
Renion,гостиничный комплекс,Средний чек 4000 тнг,"проспект Сейфуллина, 163а"
Тәп-Тәтті,кондитерская-пекарня,Доставка,"Тимирязева, 38/1"
Dublin,ирландский паб,Средний чек 5000 тнг,"Байсеитовой, 45"
Япоша,магазин-кафе,Средний чек 1500 тнг,"Жарокова, 191"
Pasta La Vista,кафе,Средний чек 3000 тнг,"Богенбай батыра, 104"
Traveler`s Coffee,сеть кофеен,Средний чек 2700 тнг,"Желтоксан, 137"
Svetlana Modern Cuisine,ресторанный комплекс,Средний чек 2000 тнг,"БЦ Kaisar Plaza, Желтоксан, 115"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"БЦ Казжол, Гоголя, 86"
Куропатка,кафе быстрого питания,Доставка,"Розыбакиева, 154"
BAYSAN,комплекс,Средний чек 3000 тнг,"Тургут Озала, 249а"
MANANA,ресторан,Средний чек 10000 тнг,"Гостиница Donatello, проспект Достык, 535"
Oasis,кафе,Средний чек 4000 тнг,"5-й микрорайон, 30а"
MANGA SUSHI,сеть суши-баров,Средний чек 3500 тнг,"Гоголя, 201"
China Town,ресторан,Средний чек 2500 тнг,"Маметовой, 47"
Эрмитаж,кафе,Средний чек 3500 тнг,"Жансугурова, 251"
Breakfast Martini,кафе,Средний чек 3500 тнг,"Гоголя, 100"
Park Avenue,кафе,Средний чек 3500 тнг,"Радостовца, 72а"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"Богенбай батыра, 148"
Shipudim,сеть шашлычных,Средний чек 2000 тнг,"4-й микрорайон, 3Б"
CoffeeBOOM,сеть кофеен,Средний чек 3500 тнг,"ЖК Жастар, Кожамкулова, 273"
Craft Bar,бар,Средний чек 3000 тнг,"проспект Абая, 68"
Paul,сеть ресторанов,Средний чек 3500 тнг,"ТЦ ESENTAI MALL, проспект Аль-Фараби, 77/8"
Мармарис,сеть кафе,Средний чек 2000 тнг,"Куанышбаева, 49Б"
Тархун,ресторан,Средний чек 4000 тнг,"Кармысова, 84а"
Mamma mia & Ciao Pizza,сеть пиццерий,Средний чек 5000 тнг,"Панфилова, 109"
Turandot,сеть ресторанов,Средний чек 5000 тнг,"проспект Абая, 157а"
Lanzhou,сеть ресторанов быстрого питания,Средний чек 1500 тнг,"ТРЦ PROMENADE, проспект Абая, 44а"
Whoopie Cakes,американское кафе-кондитерская,,"ЖК Тенгиз Тауэрс, Сатпаева, 30/2"
Уголёк,городское кафе,Средний чек 3000 тнг,"проспект Абылай хана, 113"
SALAM BRO,сеть кафе и киосков быстрого питания,Доставка,"Панфилова, 80"
Mysatosushi,кафе,Средний чек 1800 тнг,"проспект Сейфуллина, 402"
Noni,чайхана,Средний чек 5000 тнг,"проспект Гагарина, 214а"
Sultan Express,Быстрое питание,Средний чек 1200 тнг,"9-й микрорайон, 28Б"
Изуми,кафе быстрого питания,Средний чек 1500 тнг,"Рыскулбекова, 22"
RUMI,центр вкусного плова,Средний чек 3500 тнг,"проспект Аль-Фараби, 7 к4а"
Ventana,кафе,Средний чек 6000 тнг,"Искендерова, 40"
Шашлычный двор,кафе,,"Муратбаева, 195а"
Бакинский Бульвар,кафе,Средний чек 5000 тнг,"Шевченко, 155а"
Компот,комплекс,Средний чек 3500 тнг,"Сағадат Нұрмағамбетов, 28а"
Аксакал,чайхана,Средний чек 1500 тнг,"Каирбекова, 47"
ТЮБЕТЕЙКА,чайхана,Средний чек 5000 тнг,"микрорайон Самал-1, 2"
SACVOYAGE HOTEL & SOUL SPA,ресторанно-гостинично-банный комплекс,Средний чек 6000 тнг,"Сеченова, 30/8"
SALAM BRO,сеть кафе и киосков быстрого питания,,"Толе би, 75"
Дутар,кафе,Средний чек 1200 тнг,"Ауэзова, 179"
NASLEDNIKI,центр семейного отдыха,Средний чек 2000 тнг,"ТЦ Атриум, Наурызбай батыра, 7Б"
Вера и Ваке,ресторан,Средний чек 6000 тнг,"Желтоксан, 148"
Paul,сеть ресторанов,,"ТРК Алмалы, площадь Республики, 2"
Spice Mantra,ресторан,Средний чек 4500 тнг,"Толе би, 72"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"проспект Суюнбая, 2 к17"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"ТД ЦУМ, проспект Абылай хана, 62"
IL BOSCO DI CAFFE,ресторан,Средний чек 4000 тнг,"Гоголя, 13"
Динара,кафе,,"Жарокова, 43/198"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"микрорайон Коктем-2, 2а"
Cipollino,семейное кафе,Средний чек 5000 тнг,"проспект Жибек Жолы, 66"
Соседи,бар,Средний чек 5000 тнг,"БЦ Evolution, бульвар Бухар Жырау, 26/1"
Royal Palace,гостиничный комплекс,Средний чек 5000 тнг,"Жансугурова, 178/1"
Tandoor,ресторан,Средний чек 4000 тнг,"Толе би, 102"
Traveler`s Coffee,сеть кофеен,Средний чек 2700 тнг,"ЖК Вавилон, Розыбакиева, 247 блок 3"
